# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -5.000 -0.10031338E-07  0.10062774E-15  0.00000000E+00   12.500000
 -3.040  0.98449374E-02  0.96922793E-04  0.00000000E+00    4.620800
 -3.030  0.10148306E-01  0.10298811E-03  0.00000000E+00    4.590450
 -3.020  0.10459976E-01  0.10941111E-03  0.00000000E+00    4.560200
 -3.010  0.10780141E-01  0.11621144E-03  0.00000000E+00    4.530050
 -3.000  0.11108994E-01  0.12340976E-03  0.00000000E+00    4.500000
 -2.990  0.11446735E-01  0.13102774E-03  0.00000000E+00    4.470050
 -2.980  0.11793564E-01  0.13908816E-03  0.00000000E+00    4.440200
 -2.970  0.12149688E-01  0.14761491E-03  0.00000000E+00    4.410450
 -2.960  0.12515313E-01  0.15663306E-03  0.00000000E+00    4.380800
 -2.950  0.12890652E-01  0.16616892E-03  0.00000000E+00    4.351250
 -2.940  0.13275921E-01  0.17625007E-03  0.00000000E+00    4.321800
 -2.930  0.13671337E-01  0.18690545E-03  0.00000000E+00    4.292450
 -2.920  0.14077122E-01  0.19816537E-03  0.00000000E+00    4.263200
 -2.910  0.14493503E-01  0.21006162E-03  0.00000000E+00    4.234050
 -2.900  0.14920707E-01  0.22262750E-03  0.00000000E+00    4.205000
 -2.890  0.15358968E-01  0.23589790E-03  0.00000000E+00    4.176050
 -2.880  0.15808521E-01  0.24990933E-03  0.00000000E+00    4.147200
 -2.870  0.16269605E-01  0.26470004E-03  0.00000000E+00    4.118450
 -2.860  0.16742463E-01  0.28031007E-03  0.00000000E+00    4.089800
 -2.850  0.17227342E-01  0.29678131E-03  0.00000000E+00    4.061250
 -2.840  0.17724491E-01  0.31415758E-03  0.00000000E+00    4.032800
 -2.830  0.18234163E-01  0.33248471E-03  0.00000000E+00    4.004450
 -2.820  0.18756616E-01  0.35181063E-03  0.00000000E+00    3.976200
 -2.810  0.19292109E-01  0.37218545E-03  0.00000000E+00    3.948050
 -2.800  0.19840905E-01  0.39366153E-03  0.00000000E+00    3.920000
 -2.790  0.20403274E-01  0.41629357E-03  0.00000000E+00    3.892050
 -2.780  0.20979483E-01  0.44013873E-03  0.00000000E+00    3.864200
 -2.770  0.21569809E-01  0.46525667E-03  0.00000000E+00    3.836450
 -2.760  0.22174528E-01  0.49170970E-03  0.00000000E+00    3.808800
 -2.750  0.22793922E-01  0.51956286E-03  0.00000000E+00    3.781250
 -2.740  0.23428273E-01  0.54888400E-03  0.00000000E+00    3.753800
 -2.730  0.24077871E-01  0.57974389E-03  0.00000000E+00    3.726450
 -2.720  0.24743007E-01  0.61221638E-03  0.00000000E+00    3.699200
 -2.710  0.25423974E-01  0.64637843E-03  0.00000000E+00    3.672050
 -2.700  0.26121070E-01  0.68231028E-03  0.00000000E+00    3.645000
 -2.690  0.26834596E-01  0.72009553E-03  0.00000000E+00    3.618050
 -2.680  0.27564856E-01  0.75982131E-03  0.00000000E+00    3.591200
 -2.670  0.28312159E-01  0.80157833E-03  0.00000000E+00    3.564450
 -2.660  0.29076813E-01  0.84546107E-03  0.00000000E+00    3.537800
 -2.650  0.29859134E-01  0.89156787E-03  0.00000000E+00    3.511250
 -2.640  0.30659437E-01  0.94000107E-03  0.00000000E+00    3.484800
 -2.630  0.31478043E-01  0.99086716E-03  0.00000000E+00    3.458450
 -2.620  0.32315273E-01  0.10442769E-02  0.00000000E+00    3.432200
 -2.610  0.33171455E-01  0.11003455E-02  0.00000000E+00    3.406050
 -2.600  0.34046917E-01  0.11591925E-02  0.00000000E+00    3.380000
 -2.590  0.34941989E-01  0.12209426E-02  0.00000000E+00    3.354050
 -2.580  0.35857007E-01  0.12857250E-02  0.00000000E+00    3.328200
 -2.570  0.36792307E-01  0.13536739E-02  0.00000000E+00    3.302450
 -2.560  0.37748229E-01  0.14249288E-02  0.00000000E+00    3.276800
 -2.550  0.38725114E-01  0.14996345E-02  0.00000000E+00    3.251250
 -2.540  0.39723309E-01  0.15779412E-02  0.00000000E+00    3.225800
 -2.530  0.40743158E-01  0.16600049E-02  0.00000000E+00    3.200450
 -2.520  0.41785013E-01  0.17459873E-02  0.00000000E+00    3.175200
 -2.510  0.42849224E-01  0.18360560E-02  0.00000000E+00    3.150050
 -2.500  0.43936146E-01  0.19303850E-02  0.00000000E+00    3.125000
 -2.490  0.45046135E-01  0.20291543E-02  0.00000000E+00    3.100050
 -2.480  0.46179548E-01  0.21325506E-02  0.00000000E+00    3.075200
 -2.470  0.47336745E-01  0.22407674E-02  0.00000000E+00    3.050450
 -2.460  0.48518088E-01  0.23540049E-02  0.00000000E+00    3.025800
 -2.450  0.49723941E-01  0.24724703E-02  0.00000000E+00    3.001250
 -2.440  0.50954668E-01  0.25963782E-02  0.00000000E+00    2.976800
 -2.430  0.52210636E-01  0.27259505E-02  0.00000000E+00    2.952450
 -2.420  0.53492213E-01  0.28614168E-02  0.00000000E+00    2.928200
 -2.410  0.54799768E-01  0.30030146E-02  0.00000000E+00    2.904050
 -2.400  0.56133671E-01  0.31509890E-02  0.00000000E+00    2.880000
 -2.390  0.57494294E-01  0.33055938E-02  0.00000000E+00    2.856050
 -2.380  0.58882009E-01  0.34670909E-02  0.00000000E+00    2.832200
 -2.370  0.60297188E-01  0.36357509E-02  0.00000000E+00    2.808450
 -2.360  0.61740207E-01  0.38118531E-02  0.00000000E+00    2.784800
 -2.350  0.63211438E-01  0.39956859E-02  0.00000000E+00    2.761250
 -2.340  0.64711257E-01  0.41875467E-02  0.00000000E+00    2.737800
 -2.330  0.66240038E-01  0.43877426E-02  0.00000000E+00    2.714450
 -2.320  0.67798155E-01  0.45965899E-02  0.00000000E+00    2.691200
 -2.310  0.69385985E-01  0.48144150E-02  0.00000000E+00    2.668050
 -2.300  0.71003902E-01  0.50415541E-02  0.00000000E+00    2.645000
 -2.290  0.72652279E-01  0.52783536E-02  0.00000000E+00    2.622050
 -2.280  0.74331490E-01  0.55251704E-02  0.00000000E+00    2.599200
 -2.270  0.76041909E-01  0.57823719E-02  0.00000000E+00    2.576450
 -2.260  0.77783907E-01  0.60503363E-02  0.00000000E+00    2.553800
 -2.250  0.79557856E-01  0.63294525E-02  0.00000000E+00    2.531250
 -2.240  0.81364126E-01  0.66201209E-02  0.00000000E+00    2.508800
 -2.230  0.83203084E-01  0.69227532E-02  0.00000000E+00    2.486450
 -2.220  0.85075098E-01  0.72377723E-02  0.00000000E+00    2.464200
 -2.210  0.86980533E-01  0.75656131E-02  0.00000000E+00    2.442050
 -2.200  0.88919752E-01  0.79067223E-02  0.00000000E+00    2.420000
 -2.190  0.90893117E-01  0.82615586E-02  0.00000000E+00    2.398050
 -2.180  0.92900985E-01  0.86305930E-02  0.00000000E+00    2.376200
 -2.170  0.94943714E-01  0.90143087E-02  0.00000000E+00    2.354450
 -2.160  0.97021656E-01  0.94132017E-02  0.00000000E+00    2.332800
 -2.150  0.99135163E-01  0.98277805E-02  0.00000000E+00    2.311250
 -2.140  0.10128458E+00  0.10258566E-01  0.00000000E+00    2.289800
 -2.130  0.10347026E+00  0.10706094E-01  0.00000000E+00    2.268450
 -2.120  0.10569253E+00  0.11170910E-01  0.00000000E+00    2.247200
 -2.110  0.10795173E+00  0.11653576E-01  0.00000000E+00    2.226050
 -2.100  0.11024820E+00  0.12154666E-01  0.00000000E+00    2.205000
 -2.090  0.11258227E+00  0.12674766E-01  0.00000000E+00    2.184050
 -2.080  0.11495425E+00  0.13214479E-01  0.00000000E+00    2.163200
 -2.070  0.11736447E+00  0.13774419E-01  0.00000000E+00    2.142450
 -2.060  0.11981325E+00  0.14355214E-01  0.00000000E+00    2.121800
 -2.050  0.12230088E+00  0.14957506E-01  0.00000000E+00    2.101250
 -2.040  0.12482769E+00  0.15581952E-01  0.00000000E+00    2.080800
 -2.030  0.12739396E+00  0.16229221E-01  0.00000000E+00    2.060450
 -2.020  0.12999999E+00  0.16899997E-01  0.00000000E+00    2.040200
 -2.010  0.13264606E+00  0.17594978E-01  0.00000000E+00    2.020050
 -2.000  0.13533246E+00  0.18314876E-01  0.00000000E+00    2.000000
 -1.990  0.13805946E+00  0.19060415E-01  0.00000000E+00    1.980050
 -1.980  0.14082733E+00  0.19832337E-01  0.00000000E+00    1.960200
 -1.970  0.14363632E+00  0.20631394E-01  0.00000000E+00    1.940450
 -1.960  0.14648670E+00  0.21458353E-01  0.00000000E+00    1.920800
 -1.950  0.14937870E+00  0.22313996E-01  0.00000000E+00    1.901250
 -1.940  0.15231256E+00  0.23199117E-01  0.00000000E+00    1.881800
 -1.930  0.15528852E+00  0.24114525E-01  0.00000000E+00    1.862450
 -1.920  0.15830679E+00  0.25061040E-01  0.00000000E+00    1.843200
 -1.910  0.16136759E+00  0.26039500E-01  0.00000000E+00    1.824050
 -1.900  0.16447112E+00  0.27050750E-01  0.00000000E+00    1.805000
 -1.890  0.16761758E+00  0.28095653E-01  0.00000000E+00    1.786050
 -1.880  0.17080715E+00  0.29175083E-01  0.00000000E+00    1.767200
 -1.870  0.17404001E+00  0.30289926E-01  0.00000000E+00    1.748450
 -1.860  0.17731633E+00  0.31441081E-01  0.00000000E+00    1.729800
 -1.850  0.18063626E+00  0.32629458E-01  0.00000000E+00    1.711250
 -1.840  0.18399995E+00  0.33855981E-01  0.00000000E+00    1.692800
 -1.830  0.18740753E+00  0.35121583E-01  0.00000000E+00    1.674450
 -1.820  0.19085914E+00  0.36427210E-01  0.00000000E+00    1.656200
 -1.810  0.19435488E+00  0.37773818E-01  0.00000000E+00    1.638050
 -1.800  0.19789485E+00  0.39162372E-01  0.00000000E+00    1.620000
 -1.790  0.20147916E+00  0.40593850E-01  0.00000000E+00    1.602050
 -1.780  0.20510787E+00  0.42069238E-01  0.00000000E+00    1.584200
 -1.770  0.20878106E+00  0.43589530E-01  0.00000000E+00    1.566450
 -1.760  0.21249878E+00  0.45155730E-01  0.00000000E+00    1.548800
 -1.750  0.21626107E+00  0.46768851E-01  0.00000000E+00    1.531250
 -1.740  0.22006797E+00  0.48429910E-01  0.00000000E+00    1.513800
 -1.730  0.22391949E+00  0.50139936E-01  0.00000000E+00    1.496450
 -1.720  0.22781563E+00  0.51899961E-01  0.00000000E+00    1.479200
 -1.710  0.23175639E+00  0.53711024E-01  0.00000000E+00    1.462050
 -1.700  0.23574174E+00  0.55574168E-01  0.00000000E+00    1.445000
 -1.690  0.23977165E+00  0.57490443E-01  0.00000000E+00    1.428050
 -1.680  0.24384606E+00  0.59460900E-01  0.00000000E+00    1.411200
 -1.670  0.24796491E+00  0.61486595E-01  0.00000000E+00    1.394450
 -1.660  0.25212812E+00  0.63568587E-01  0.00000000E+00    1.377800
 -1.650  0.25633559E+00  0.65707934E-01  0.00000000E+00    1.361250
 -1.640  0.26058721E+00  0.67905696E-01  0.00000000E+00    1.344800
 -1.630  0.26488287E+00  0.70162934E-01  0.00000000E+00    1.328450
 -1.620  0.26922241E+00  0.72480707E-01  0.00000000E+00    1.312200
 -1.610  0.27360569E+00  0.74860073E-01  0.00000000E+00    1.296050
 -1.600  0.27803253E+00  0.77302085E-01  0.00000000E+00    1.280000
 -1.590  0.28250274E+00  0.79807796E-01  0.00000000E+00    1.264050
 -1.580  0.28701612E+00  0.82378251E-01  0.00000000E+00    1.248200
 -1.570  0.29157244E+00  0.85014490E-01  0.00000000E+00    1.232450
 -1.560  0.29617149E+00  0.87717549E-01  0.00000000E+00    1.216800
 -1.550  0.30081299E+00  0.90488453E-01  0.00000000E+00    1.201250
 -1.540  0.30549668E+00  0.93328220E-01  0.00000000E+00    1.185800
 -1.530  0.31022227E+00  0.96237857E-01  0.00000000E+00    1.170450
 -1.520  0.31498946E+00  0.99218360E-01  0.00000000E+00    1.155200
 -1.510  0.31979793E+00  0.10227071E+00  0.00000000E+00    1.140050
 -1.500  0.32464733E+00  0.10539589E+00  0.00000000E+00    1.125000
 -1.490  0.32953732E+00  0.10859484E+00  0.00000000E+00    1.110050
 -1.480  0.33446751E+00  0.11186851E+00  0.00000000E+00    1.095200
 -1.470  0.33943752E+00  0.11521783E+00  0.00000000E+00    1.080450
 -1.460  0.34444693E+00  0.11864369E+00  0.00000000E+00    1.065800
 -1.450  0.34949532E+00  0.12214698E+00  0.00000000E+00    1.051250
 -1.440  0.35458224E+00  0.12572857E+00  0.00000000E+00    1.036800
 -1.430  0.35970723E+00  0.12938929E+00  0.00000000E+00    1.022450
 -1.420  0.36486981E+00  0.13312998E+00  0.00000000E+00    1.008200
