# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
  3.950  0.16188471E-02  0.26206660E-05  0.00000000E+00    7.801250
  4.000  0.13440864E-02  0.18065682E-05  0.00000000E+00    8.000000
  4.050  0.11130110E-02  0.12387936E-05  0.00000000E+00    8.201250
  4.100  0.91923071E-03  0.84498509E-06  0.00000000E+00    8.405000
  4.150  0.75718861E-03  0.57333459E-06  0.00000000E+00    8.611250
  4.200  0.62207078E-03  0.38697206E-06  0.00000000E+00    8.820000
  4.250  0.50972196E-03  0.25981648E-06  0.00000000E+00    9.031250
  4.300  0.41656835E-03  0.17352919E-06  0.00000000E+00    9.245000
  4.350  0.33954716E-03  0.11529228E-06  0.00000000E+00    9.461250
  4.400  0.27604274E-03  0.76199594E-07  0.00000000E+00    9.680000
  4.450  0.22382900E-03  0.50099423E-07  0.00000000E+00    9.901250
  4.500  0.18101792E-03  0.32767488E-07  0.00000000E+00   10.125000
  4.550  0.14601359E-03  0.21319969E-07  0.00000000E+00   10.351250
  4.600  0.11747156E-03  0.13799567E-07  0.00000000E+00   10.580000
  4.650  0.94262966E-04  0.88855068E-08  0.00000000E+00   10.811250
  4.700  0.75443088E-04  0.56916595E-08  0.00000000E+00   11.045000
  4.750  0.60223878E-04  0.36269154E-08  0.00000000E+00   11.281250
  4.800  0.47950109E-04  0.22992130E-08  0.00000000E+00   11.520000
  4.850  0.38078735E-04  0.14499901E-08  0.00000000E+00   11.761250
  4.900  0.30161113E-04  0.90969272E-09  0.00000000E+00   12.005000
  4.950  0.23827762E-04  0.56776222E-09  0.00000000E+00   12.251250
  5.000  0.18775348E-04  0.35251369E-09  0.00000000E+00   12.500000
  5.050  0.14755615E-04  0.21772818E-09  0.00000000E+00   12.751250
  5.100  0.11566007E-04  0.13377252E-09  0.00000000E+00   13.005000
  5.150  0.90417558E-05  0.81753348E-10  0.00000000E+00   13.261250
  5.200  0.70492340E-05  0.49691701E-10  0.00000000E+00   13.520000
  5.250  0.54803850E-05  0.30034620E-10  0.00000000E+00   13.781250
  5.300  0.42480766E-05  0.18046155E-10  0.00000000E+00   14.045000
