# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -3.250  0.29020914E+00  0.84221342E-01  0.00000000E+00    5.281250
 -3.245  0.28618607E+00  0.81902467E-01  0.00000000E+00    5.265013
 -3.240  0.28223126E+00  0.79654485E-01  0.00000000E+00    5.248800
 -3.235  0.27834354E+00  0.77475125E-01  0.00000000E+00    5.232612
 -3.230  0.27452175E+00  0.75362189E-01  0.00000000E+00    5.216450
 -3.225  0.27076476E+00  0.73313556E-01  0.00000000E+00    5.200312
 -3.220  0.26707148E+00  0.71327175E-01  0.00000000E+00    5.184200
 -3.215  0.26344081E+00  0.69401063E-01  0.00000000E+00    5.168112
 -3.210  0.25987170E+00  0.67533303E-01  0.00000000E+00    5.152050
 -3.205  0.25636311E+00  0.65722042E-01  0.00000000E+00    5.136013
 -3.200  0.25291400E+00  0.63965490E-01  0.00000000E+00    5.120000
 -3.195  0.24952337E+00  0.62261914E-01  0.00000000E+00    5.104013
 -3.190  0.24619025E+00  0.60609641E-01  0.00000000E+00    5.088050
