# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -5.000 -0.49219656E-11  0.24225745E-22  0.00000000E+00   12.500000
 -3.780  0.25435193E-01  0.64694904E-03  0.00000000E+00    7.144200
 -3.775  0.25809558E-01  0.66613330E-03  0.00000000E+00    7.125312
 -3.770  0.26188602E-01  0.68584288E-03  0.00000000E+00    7.106450
 -3.765  0.26572368E-01  0.70609075E-03  0.00000000E+00    7.087613
 -3.760  0.26960901E-01  0.72689018E-03  0.00000000E+00    7.068800
 -3.755  0.27354245E-01  0.74825470E-03  0.00000000E+00    7.050012
 -3.750  0.27752444E-01  0.77019813E-03  0.00000000E+00    7.031250
 -3.745  0.28155543E-01  0.79273460E-03  0.00000000E+00    7.012513
 -3.740  0.28563587E-01  0.81587850E-03  0.00000000E+00    6.993800
 -3.735  0.28976621E-01  0.83964455E-03  0.00000000E+00    6.975112
 -3.730  0.29394689E-01  0.86404777E-03  0.00000000E+00    6.956450
 -3.725  0.29817838E-01  0.88910348E-03  0.00000000E+00    6.937813
 -3.720  0.30246112E-01  0.91482732E-03  0.00000000E+00    6.919200
 -3.715  0.30679558E-01  0.94123525E-03  0.00000000E+00    6.900612
 -3.710  0.31118219E-01  0.96834356E-03  0.00000000E+00    6.882050
 -3.705  0.31562143E-01  0.99616887E-03  0.00000000E+00    6.863513
 -3.700  0.32011375E-01  0.10247281E-02  0.00000000E+00    6.845000
 -3.695  0.32465961E-01  0.10540386E-02  0.00000000E+00    6.826513
 -3.690  0.32925946E-01  0.10841179E-02  0.00000000E+00    6.808050
 -3.685  0.33391378E-01  0.11149841E-02  0.00000000E+00    6.789613
 -3.680  0.33862302E-01  0.11466555E-02  0.00000000E+00    6.771200
 -3.675  0.34338765E-01  0.11791508E-02  0.00000000E+00    6.752813
 -3.670  0.34820812E-01  0.12124890E-02  0.00000000E+00    6.734450
 -3.665  0.35308491E-01  0.12466895E-02  0.00000000E+00    6.716113
 -3.660  0.35801848E-01  0.12817723E-02  0.00000000E+00    6.697800
 -3.655  0.36300929E-01  0.13177574E-02  0.00000000E+00    6.679513
 -3.650  0.36805781E-01  0.13546655E-02  0.00000000E+00    6.661250
 -3.645  0.37316451E-01  0.13925175E-02  0.00000000E+00    6.643013
 -3.640  0.37832985E-01  0.14313347E-02  0.00000000E+00    6.624800
 -3.635  0.38355430E-01  0.14711390E-02  0.00000000E+00    6.606613
 -3.630  0.38883833E-01  0.15119524E-02  0.00000000E+00    6.588450
 -3.625  0.39418240E-01  0.15537976E-02  0.00000000E+00    6.570313
 -3.620  0.39958699E-01  0.15966976E-02  0.00000000E+00    6.552200
 -3.615  0.40505256E-01  0.16406758E-02  0.00000000E+00    6.534113
 -3.610  0.41057958E-01  0.16857559E-02  0.00000000E+00    6.516050
 -3.605  0.41616851E-01  0.17319623E-02  0.00000000E+00    6.498012
 -3.600  0.42181983E-01  0.17793197E-02  0.00000000E+00    6.480000
 -3.595  0.42753400E-01  0.18278533E-02  0.00000000E+00    6.462013
 -3.590  0.43331149E-01  0.18775885E-02  0.00000000E+00    6.444050
 -3.585  0.43915277E-01  0.19285515E-02  0.00000000E+00    6.426112
 -3.580  0.44505830E-01  0.19807689E-02  0.00000000E+00    6.408200
 -3.575  0.45102854E-01  0.20342674E-02  0.00000000E+00    6.390313
 -3.570  0.45706396E-01  0.20890746E-02  0.00000000E+00    6.372450
 -3.565  0.46316503E-01  0.21452184E-02  0.00000000E+00    6.354612
 -3.560  0.46933221E-01  0.22027272E-02  0.00000000E+00    6.336800
 -3.555  0.47556595E-01  0.22616298E-02  0.00000000E+00    6.319013
 -3.550  0.48186673E-01  0.23219555E-02  0.00000000E+00    6.301250
 -3.545  0.48823500E-01  0.23837342E-02  0.00000000E+00    6.283512
 -3.540  0.49467122E-01  0.24469962E-02  0.00000000E+00    6.265800
 -3.535  0.50117585E-01  0.25117724E-02  0.00000000E+00    6.248113
 -3.530  0.50774935E-01  0.25780940E-02  0.00000000E+00    6.230450
 -3.525  0.51439216E-01  0.26459930E-02  0.00000000E+00    6.212813
 -3.520  0.52110475E-01  0.27155016E-02  0.00000000E+00    6.195200
 -3.515  0.52788756E-01  0.27866528E-02  0.00000000E+00    6.177613
 -3.510  0.53474105E-01  0.28594799E-02  0.00000000E+00    6.160050
 -3.505  0.54166566E-01  0.29340169E-02  0.00000000E+00    6.142512
 -3.500  0.54866184E-01  0.30102981E-02  0.00000000E+00    6.125000
 -3.495  0.55573003E-01  0.30883586E-02  0.00000000E+00    6.107513
 -3.490  0.56287067E-01  0.31682339E-02  0.00000000E+00    6.090050
 -3.485  0.57008421E-01  0.32499600E-02  0.00000000E+00    6.072612
 -3.480  0.57737107E-01  0.33335736E-02  0.00000000E+00    6.055200
 -3.475  0.58473171E-01  0.34191117E-02  0.00000000E+00    6.037813
 -3.470  0.59216654E-01  0.35066121E-02  0.00000000E+00    6.020450
 -3.465  0.59967600E-01  0.35961130E-02  0.00000000E+00    6.003112
 -3.460  0.60726051E-01  0.36876533E-02  0.00000000E+00    5.985800
 -3.455  0.61492050E-01  0.37812722E-02  0.00000000E+00    5.968513
 -3.450  0.62265638E-01  0.38770097E-02  0.00000000E+00    5.951250
 -3.445  0.63046859E-01  0.39749064E-02  0.00000000E+00    5.934013
 -3.440  0.63835751E-01  0.40750032E-02  0.00000000E+00    5.916800
 -3.435  0.64632358E-01  0.41773418E-02  0.00000000E+00    5.899612
 -3.430  0.65436720E-01  0.42819643E-02  0.00000000E+00    5.882450
 -3.425  0.66248877E-01  0.43889137E-02  0.00000000E+00    5.865313
 -3.420  0.67068869E-01  0.44982331E-02  0.00000000E+00    5.848200
 -3.415  0.67896735E-01  0.46099666E-02  0.00000000E+00    5.831112
 -3.410  0.68732515E-01  0.47241586E-02  0.00000000E+00    5.814050
 -3.405  0.69576248E-01  0.48408542E-02  0.00000000E+00    5.797013
 -3.400  0.70427971E-01  0.49600992E-02  0.00000000E+00    5.780000
 -3.395  0.71287724E-01  0.50819396E-02  0.00000000E+00    5.763013
 -3.390  0.72155543E-01  0.52064224E-02  0.00000000E+00    5.746050
 -3.385  0.73031465E-01  0.53335949E-02  0.00000000E+00    5.729113
 -3.380  0.73915527E-01  0.54635051E-02  0.00000000E+00    5.712200
